Mouse,Strain,Genotype,OFT - Total Distance moved (cm),OFT - Mean Velocity (cm/s),OFT - Frequency Border Zone,OFT - Total Time in Border Zone (sec),OFT - Latency to First Enter Border Zone (sec),OFT - Frequency Corner Zone,OFT - Total Time in Corner Zone (sec),OFT - Latency to First Enter Corner Zone (sec),OFT - Frequency Center Field,OFT - Total Time in Center Field (sec),OFT - Latency to First Enter Center Field (sec),OFT - Total Time Moving (sec),OFT - Total Time Not Moving (sec),OFT - Circling Clockwise Body Axis Rotations,OFT -Circling Counter Clockwise Body Axis Rotation,OFT - total Body Axis Rotation ,OFT - Frequency of Rearing,OFT - Total Time of Rearing (sec),OFT - Time per Rearing (sec),OFT - Latency to First Rearing (sec),OFT - Frequency Grooming,OFT - Total Time Grooming (sec),OFT - Latency to first Grooming (sec),OFT - Frequency Jumping,EPM - Total Distance Moved (cm),EPM - Mean Velocity (cm/s),EPM - Frequency of Moving,EPM - Total Time Moving (s),EPM - Frequency of Not Moving,EPM - Total Time Not Moving (s),EPM - Closed Arm Entries,EPM - Total Time in Closed Arms (s),EPM - Latency to First Enter Closed Arm (sec),EPM - Open Arm Entries,EPM - Total Time in Open Arms (s),EPM - Latency to First Enter Open Arm (s),EPM - Center Field Entries,EPM - Total Time in Center Field (s),EPM - Latency to First Enter Center Field (s),EPM - Slipping
2261,C57Bl/6J,C57Bl/6J,2635.77,8.78587,66,133.147,0.484169,57,143.982,0,12,20.1515,19.7174,245.541,54.4607,4,4,8,26,27.6311,1.062734615,38.7169,1,5.87682,138.573,0,1734.66,6.44827,836,206.154,830,63.1583,26,157.604,1.10189,16,60.8043,1.43579,35,48.5499,0,1
2263,C57Bl/6J,C57Bl/6J,3356.29,11.1876,101,106.133,0,69,146.386,2.02015,28,43.3415,0.133564,268.58,31.421,2,7,9,47,42.106,0.89587234,25.3438,1,5.07543,105.265,0,1308.96,5.01193,869,182.182,868,78.9869,22,158.308,2.95512,16,42.5404,0,35,56.9821,0.066782,1
2264,C57Bl/6J,C57Bl/6J,2746.72,9.15522,83,105.198,1.20207,68,163.815,0,12,23.3068,4.92514,256.608,43.408,17,3,20,33,42.6067,1.291112121,62.9417,1,5.0921,82.5754,0,1431.45,4.77124,1080,213.284,1080,86.7326,31,155.985,10.2343,23,69.4362,0,52,74.6117,5.0921,0
2265,C57Bl/6J,C57Bl/6J,2287.87,7.62582,61,123.93,0,45,136.418,2.58779,21,34.9435,0.050086,219.962,80.0544,2,7,9,38,32.7397,0.861571053,33.4075,1,3.02187,96.0152,0,1408.33,6.22626,612,172.699,612,53.4927,15,146.47,3.48938,11,42.3233,2.17043,26,37.4148,0,0
2253,C57Bl/6J,C57Bl/6J,2098.37,6.99417,64,126.217,0,44,139.089,0.550948,15,23.5739,0.166954,195.854,104.163,5,2,7,24,36.0621,1.5025875,20.0679,5,15.7938,62.4408,0,1911.58,6.37163,903,220.662,903,79.3528,25,163.581,7.91357,14,67.4991,16.5117,39,68.9516,0,0
2254,C57Bl/6J,C57Bl/6J,4218.09,14.0595,109,119.422,1.75302,76,143.413,0,34,31.4207,6.74494,272.853,27.1634,9,2,11,42,35.5111,0.845502381,30.3522,1,4.14046,161.061,6,1308.18,6.56183,630,151.062,629,48.3004,13,95.7326,10.3847,13,69.4036,0,25,34.2427,0.534259,1
2255,C57Bl/6J,C57Bl/6J,3623.18,12.0766,100,119.522,0,74,145.066,0.667816,25,26.8629,1.83649,265.123,34.8934,2,8,10,54,45.8122,0.848374074,26.6292,1,3.70638,73.3429,1,1491.5,4.97141,941,207.589,942,92.4252,20,187.722,18.8323,14,60.5872,0,33,51.722,2.37073,0
2256,C57Bl/6J,C57Bl/6J,2647.79,8.82554,62,138.287,2.20378,51,127.652,0,18,30.5023,28.8328,241.815,58.1998,0,7,7,16,17.2629,1.07893125,18.3648,4,17.1127,54.3265,0,966.159,5.45681,521,123.897,521,53.1418,13,115.95,23.0732,8,31.9552,0,19,26.0116,17.764,0
1,C57Bl/6J,C57Bl/6J,3336.16,11.12,83,112.076,0,65,168.255,2.43751,17,16.1944,38.9835,263.635,36.379,3,6,9,39,37.3474,0.957625641,28.0481,1,5.02528,112.276,0,1239.78,4.1326,391,158.2,391,141.8,24,170.08,1.08,10,32.16,0,34,97.8,0.72,1
2,C57Bl/6J,C57Bl/6J,2254.96,7.5336,61,110.16,1.48,40,155.52,0.04,22,33.96,1.44,201.84,97.72,1,5,6,28,53.2,1.9,37.64,0,0,0,0,1215.01,4.05002,375,157.64,374,142.36,28,125.8,9.56,20,66.52,0,47,107.72,1,0
3,C57Bl/6J,C57Bl/6J,2017.31,6.72437,59,107.16,1.48,41,177.8,0,16,14.8,6.28,195.32,104.68,6,3,9,30,53.92,1.797333333,43.6,1,5.28,189.16,0,1320.6,4.402,392,170.12,392,129.88,25,193.6,4.16,8,42,0,32,64.44,2.64,0
4,C57Bl/6J,C57Bl/6J,3023.97,10.0907,76,131.68,2.44,53,143.36,0,26,24.92,1.72,235.36,64.56,5,1,6,37,39.48,1.067027027,25.88,0,0,0,1,1033.22,3.44407,384,143.72,384,156.28,19,157.52,3.48,13,22.92,0,30,119.56,0.72,0
5,C57Bl/6J,C57Bl/6J,2435.32,8.11774,60,84.8,1.64,40,176.56,0,22,38.68,3.16,228.6,71.4,0,8,8,32,45.28,1.415,26.6,1,4.56,295.44,0,1224.92,4.08305,353,152.6,352,147.4,12,96.88,33.2,11,144.4,2.52,24,58.76,0,0
6,C57Bl/6J,C57Bl/6J,2100.1,7.00033,59,112.96,1.84,41,164.96,0,19,22.12,3.68,224.04,75.96,5,2,7,29,43.32,1.493793103,47.96,1,3.12,118.76,0,1307.8,4.35934,375,166,375,134,19,131.36,12.2,24,62.12,0,43,106.56,0.04,0
7,C57Bl/6J,C57Bl/6J,2314.72,7.71573,53,117.04,1.12,40,166.72,0,14,16.28,6.08,211.48,88.52,1,9,10,41,53.52,1.305365854,33.48,1,4.76,131.12,4,1199.58,3.99861,419,169.84,419,130.16,11,102.28,15,19,139.4,0,29,58.36,0.8,1
8,C57Bl/6J,C57Bl/6J,2501.84,8.63896,64,91.44,23.92,49,158.96,13.16,23,30.2,24.04,204.48,86.72,4,2,6,33,30.72,0.930909091,50.76,1,4.92,176.16,0,1274.93,4.24977,470,171,470,129,14,91.6,54.08,16,147.72,0,29,60.72,5.16,0
9,C57Bl/6J,C57Bl/6J,2471.58,8.26063,59,98.36,1.12,46,177.64,1.08,15,22.8,65.28,212.48,86.92,2,3,5,29,23.12,0.797241379,30.84,1,5.24,204.92,0,800.843,2.66948,377,119.92,376,180.08,13,141.8,3.48,15,69.4,0,28,88.84,2.48,1
10,C57Bl/6J,C57Bl/6J,2300.53,7.91213,55,90.96,12,39,177.96,12.16,17,19.04,12.04,189.64,101.56,6,1,7,23,35.68,1.551304348,55.44,1,3.28,159.92,0,1092.08,3.64028,455,152.48,455,147.52,23,153.72,11.24,12,64.04,0,35,82.28,9.56,1
11,C57Bl/6J,C57Bl/6J,2613.62,8.71206,71,125.4,10.28,47,147.6,0,24,27.04,24.32,228.88,71.12,4,3,7,32,38.92,1.21625,42.28,0,0,0,0,1353.98,4.51328,404,174.68,403,125.32,15,116.32,15.6,14,99.76,0.52,29,83.96,0,3
oma-0166,NEX-Cre,NEX-Cre-het,3429.79,11.4325,85,131.102,2.03336,57,118.168,0,35,45.884,11.4502,271.354,28.6504,12,5,17,35,26.0504,0.744297143,58.8342,0,0,0,0,1368,4.55992,989,178.086,988,121.918,16,222.47,8.81679,10,36.9505,0,26,40.6006,5.46674,1
oma-0169,NEX-Cre,NEX-Cre-het,2898.39,9.66118,77,153.169,3.56672,63,117.335,0,19,19.1669,21.4003,240.42,59.5842,5,6,11,33,34.3838,1.041933333,17.7502,2,9.4668,172.936,0,1699.43,5.66468,1008,211.12,1007,88.8846,22,155.619,6.01675,24,77.6511,0,45,66.7509,0.016666,1
oma-0682,NEX-Cre,NEX-Cre-het,2979.33,9.93098,71,138.385,1.40002,57,133.885,0,16,19.5836,32.2671,258.42,41.5839,4,4,8,32,34.4005,1.075015625,66.2676,1,4.41673,144.269,0,1785.45,5.9514,1070,214.47,1071,85.5345,30,159.369,2.65004,13,63.5842,36.7838,44,77.0677,0,0
oma-0681,NEX-Cre,NEX-Cre-het,2723.1,9.07689,66,120.252,3.18338,55,158.769,0,18,16.0336,17.1836,242.203,57.8008,3,8,11,23,23.1503,1.006534783,72.9677,1,11.6002,134.985,0,1471.47,4.90482,1052,193.553,1053,106.402,30,203.52,11.0668,21,21.867,0,50,74.6344,2.33337,0
oma-0168,NEX-Cre,NEX-Cre-het,3108.3,10.3609,79,104.935,0.633342,71,165.619,0,21,22.1836,8.63345,253.02,46.984,9,6,15,30,28.8504,0.96168,23.1837,1,3.76672,89.8013,0,1547.33,5.15769,980,199.569,980,100.435,23,218.12,3.70005,15,18.4836,18.9503,38,63.4176,0,0
oma-0182,NEX-Cre,NEX-Cre-het,2976.68,9.92213,76,115.335,1.26668,46,149.935,0,32,31.5338,2.96671,247.77,52.2341,4,7,11,33,28.1171,0.852033333,28.0004,1,4.5834,131.919,0,1589.58,5.29852,1059,198.486,1059,101.518,36,168.319,3.86672,16,14.5669,0,52,117.135,2.81671,0
oma-0189,NEX-Cre,NEX-Cre-het,4459.02,14.8632,121,128.535,0,89,118.235,0.066667,41,43.1506,1.01668,275.204,24.8003,9,10,19,39,33.2005,0.851294872,55.6674,0,0,0,0,2037.52,6.79163,1000,224.42,1000,75.5844,37,138.952,1.60002,16,73.7177,18.8669,53,87.3512,0,2
oma-0180,NEX-Cre,NEX-Cre-het,3233.09,10.7768,81,126.935,0.083334,67,146.169,0,16,15.8169,5.70008,250.637,49.3674,1,6,7,19,28.5171,1.5009,63.9342,1,5.40008,86.2179,0,2096.55,6.9884,915,221.103,914,78.9011,27,206.72,7.90011,16,43.7339,0,42,49.5674,0.400005,1
oma-0172,NEX-Cre,NEX-Cre-het,3439.14,11.4637,88,130.102,0.033333,75,145.502,0,22,17.7002,27.217,265.787,34.2171,1,9,10,24,29.0171,1.209045833,31.4504,1,0.316671,223.403,0,1766.46,5.88811,1077,212.72,1077,87.2845,26,185.869,0,26,56.3008,0.350004,50,57.6841,0.233336,4
oma-0173,NEX-Cre,NEX-Cre-het,3542.28,11.8074,92,134.419,1.00001,70,118.335,0,35,35.3172,16.1502,263.22,36.7839,14,6,20,37,36.0672,0.974789189,19.3836,2,4.5334,82.3178,0,2210.73,7.36899,782,234.02,783,65.9843,34,201.619,4.18339,9,42.8006,4.8834,44,55.6008,0,2
oma-0170,NEX-Cre,NEX-Cre-het,4939.57,16.465,135,141.535,3.11671,104,120.802,0,38,30.8004,26.717,280.504,19.5003,1,19,20,37,26.267,0.709918919,42.8673,0,0,0,0,1715.7,5.71893,1029,213.32,1028,86.6846,31,169.369,2.00003,18,63.0842,11.9668,49,67.5676,0,4
oma-0668,NEX-Cre,NEX-Cre-het,3704.1,12.3468,90,126.852,0,77,140.152,2.48337,25,24.367,11.7168,266.037,33.9672,7,8,15,31,32.4338,1.046251613,82.1345,1,4.75007,261.087,0,1878.77,6.26247,970,214.92,969,85.0845,34,172.119,4.26673,14,56.7175,0,46,71.0843,0.666676,2
2171,NexCre,NEX-Cre-het,2565.59,8.55155,63,106.817,0,46,176.686,0.233734,14,15.56,35.8949,221.964,78.0505,7,0,7,47,35.7947,0.761589362,6.96194,1,5.64301,93.9278,0,1503.74,5.01417,891,184.65,890,115.365,29,206.821,6.49447,17,28.8996,0,44,64.2435,1.28554,0
2172,NexCre,NEX-Cre-het,3153.14,10.5104,88,126.452,1.05182,65,146.77,0,21,23.6408,7.56306,251.685,48.3168,7,3,10,30,27.1803,0.90601,98.4701,2,5.5596,83.9116,0,1713.53,5.71144,835,223.752,835,76.2646,17,157.304,4.60793,12,82.1915,1.31894,29,60.5375,0,2
2173,NexCre,NEX-Cre-het,2837.7,9.45849,92,121.075,0.83477,70,156.97,0,21,18.6154,13.8572,230.013,70.0038,6,5,11,19,21.6539,1.139678947,18.0477,4,13.7737,58.8012,0,1194.84,3.98279,868,168.407,867,131.594,16,236.725,5.99368,8,9.01557,15.0593,24,54.2771,0,0
2174,NexCre,NEX-Cre-het,2902.96,9.67647,77,120.625,0,55,156.12,0.818079,20,18.8826,16.6788,256.693,43.3081,2,5,7,43,43.8758,1.020367442,26.7629,1,5.52621,142.429,4,1702.94,5.67619,907,229.677,907,70.3373,21,181.795,10.1841,18,53.2246,0,38,65.0115,8.164,1
2175,NexCre,NEX-Cre-het,2703.09,9.00982,84,133.38,0,60,142.211,0.484166,19,19.7674,7.27919,241.098,58.9181,1,8,9,26,32.2722,1.241238462,28.6827,1,4.7081,188.224,0,1722.85,5.74279,958,209.046,957,90.9576,20,160.077,1.75304,21,85.8321,19.5172,39,53.7431,0,2
2189,NexCre,NEX-Cre-het,2608.87,8.6958,70,128.337,2.40412,53,133.896,0,19,33.1736,16.9457,229.911,70.1036,5,2,7,18,22.7557,1.264205556,40.9035,1,5.96022,101.608,0,1491.25,6.68663,677,174.002,677,49.0183,20,133.064,0,12,44.1766,48.7178,31,45.796,6.01042,0
2193,NexCre,NEX-Cre-het,2873.36,9.57734,74,113.111,0,50,160.827,0.250431,18,18.5319,19.0328,226.74,73.2761,4,5,9,23,30.803,1.33926087,24.225,1,3.45595,145.567,0,1220.05,4.87273,752,165.654,752,84.7135,15,172.098,10.7019,13,35.5783,0,27,42.724,0.016695,0
2194,NexCre,NEX-Cre-het,2153.34,7.17775,61,126.151,0.083477,48,160.594,0,9,11.186,26.5959,207.826,92.1758,1,6,7,21,21.8711,1.041480952,24.1751,0,0,0,0,1443.4,5.94105,628,173.668,629,69.2868,27,175.32,2.38747,10,16.5787,29.1505,37,51.0718,0,1
2195,NexCre,NEX-Cre-het,2949.89,9.83291,81,124.515,1.43581,57,152.363,3.30571,19,18.0478,0,252.403,47.5989,5,3,8,30,31.5211,1.050703333,29.7514,1,5.40934,84.2121,0,1162.95,5.11086,740,155.604,739,71.9418,15,178.427,2.52105,12,13.6738,11.0025,27,35.4617,0,0
2159,NexCre,NEX-Cre-het,2303.83,7.67902,61,116.133,3.40586,43,163.147,0,16,19.5002,10.0673,223.435,76.5818,4,3,7,15,14.4582,0.96388,53.9595,1,7.32928,102.86,0,1192.19,4.36235,945,174.168,945,99.1051,14,187.141,18.3652,13,37.9324,0,26,48.2336,9.44971,0
oma-0666,NEX-Cre,NEX-Cre-hom,5526.05,18.4199,144,142.052,0.233336,107,127.068,0,41,27.3004,1.06668,284.787,15.2169,18,5,23,53,38.8672,0.733343396,43.2839,0,0,0,0,2049.97,6.83315,874,228.987,875,71.0177,15,154.502,26.417,14,115.102,1.35002,30,30.4171,0,2
oma-0171,NEX-Cre,NEX-Cre-hom,4537.96,15.1263,107,134.285,0.033333,91,151.252,0,17,13.5502,108.802,266.437,33.5671,5,9,14,27,22.1503,0.820381481,42.3839,1,4.95007,222.753,0,1977.81,6.5926,925,225.653,924,74.351,41,199.103,0.733343,36,16.1669,2.91671,78,84.7512,0,0
oma-0680,NEX-Cre,NEX-Cre-hom,4813.25,16.0439,135,159.702,2.85004,92,107.802,0,39,25.9004,16.5336,281.887,18.1169,23,3,26,32,21.5336,0.672925,20.367,0,0,0,0,1920.16,6.40046,853,227.253,854,72.751,15,129.885,18.8336,19,123.602,3.00004,34,46.534,0,0
oma-0665,NEX-Cre,NEX-Cre-hom,4448.13,14.8269,107,131.969,0,98,152.185,0.033333,19,11.7668,0.950013,264.437,35.5672,5,11,16,38,24.117,0.634657895,33.1838,0,0,0,0,1843.32,6.14432,882,213.453,882,86.5512,24,131.369,35.6505,25,122.218,0,48,46.434,17.7836,1
oma-0167,NEX-Cre,NEX-Cre-hom,3032.12,10.1069,72,130.168,0.133335,66,150.685,0,12,14.6669,48.134,247.753,52.2507,5,2,7,29,29.1504,1.005186207,10.5001,0,0,0,0,1424.17,4.74715,1058,183.853,1058,116.152,27,184.369,0,22,25.667,11.7668,48,89.9846,10.2335,0
oma-0159,NEX-Cre,NEX-Cre-hom,3214.88,10.7161,78,123.752,0,66,159.002,1.58335,13,15.7669,25.017,255.17,44.834,9,4,13,13,6.93343,0.533340769,68.5176,0,0,0,0,1944.53,6.56225,891,215.353,885,81.2678,33,175.469,12.6335,22,57.0175,0.983347,51,56.0508,0,5
12,Nex-Cre,NEX-Cre-hom,2014.55,6.71516,63,111.72,0.28,42,155.96,0,22,32.36,1,215.2,84.8,2,9,11,19,28.76,1.513684211,86.8,1,8.2,244.88,0,1501.95,5.0065,432,184.84,431,115.16,18,153.04,3.64,15,83.76,0,32,63.24,2.24,6
13,Nex-Cre,NEX-Cre-hom,3426.46,11.4261,96,147.2,0.84,31,68.64,0.04,65,84.16,11.04,255.2,44.76,0,60,60,8,8.96,1.12,105.48,1,2.68,213.08,0,1604.06,5.34687,391,189.48,390,110.52,16,123.6,25.28,17,112.48,0,32,63.96,0.76,4
14,Nex-Cre,NEX-Cre-hom,3152.04,10.5068,84,148.68,0.36,58,117.28,0,29,34.08,16.44,229.6,70.4,0,24,24,25,39.12,1.5648,37.12,0,0,0,0,1732.67,5.79564,401,202.8,398,96.4,17,97.6,9,30,154.72,0.12,44,45.32,0.32,5
15,Nex-Cre,NEX-Cre-hom,3352.19,11.174,91,125.76,1.52,62,152.12,0,29,22.16,7.8,237.28,62.72,6,13,19,38,34.72,0.913684211,22.92,0,0,0,0,1689.32,5.63105,316,191.72,316,108.28,15,133.28,30.2,14,122.88,0,28,43.88,0.44,4
16,Nex-Cre,NEX-Cre-hom,3261.67,10.8722,93,143.32,0.2,50,105.64,6.84,44,51.08,0,240.04,59.96,2,14,16,22,13.32,0.605454545,78.04,0,0,0,0,2170.34,7.23832,372,220.52,370,79.44,24,151.76,63,20,89.56,0,41,58.4,30.68,7
17,Nex-Cre,NEX-Cre-hom,3958.99,13.1966,116,165.16,1.52,59,83.12,0,58,51.76,9.32,233.2,66.8,48,1,49,16,13.84,865,51.68,0,0,0,0,1556.61,5.18869,412,216.04,412,83.96,27,137.64,21.28,21,73.12,0,47,89.28,1.16,8
18,Nex-Cre,NEX-Cre-hom,2518.68,8.39561,63,102.96,0.16,52,183.16,0,13,13.92,14.36,198.36,101.64,3,8,11,25,30.36,1.2144,37.72,1,6.64,293.36,0,1311.71,4.37528,482,181.56,480,118.36,9,64.64,101.64,13,205.44,0,20,29.64,44.32,15
19,Nex-Cre,NEX-Cre-hom,2560.08,8.53359,66,136.08,0,52,149.92,1.16,14,14.04,0.48,207.2,92.8,4,5,9,17,22.8,1.341176471,92.36,0,0,0,0,1413.34,4.71115,394,182.92,394,117.08,22,207.16,6.88,14,18.72,0,35,74.16,1.12,2
20,Nex-Cre,NEX-Cre-hom,1880.09,6.3706,45,117.28,6.28,36,168.28,6.76,9,8.2,6.4,183.28,111.96,0,8,8,16,27.92,1.745,39.04,0,0,0,0,1858.23,6.1941,423,207.2,422,92.8,26,105.2,37.68,35,99.6,0.08,61,95.24,0,6
21,Nex-Cre,NEX-Cre-hom,2063.55,6.87852,47,112.68,3.28,34,165.4,21.12,14,21.96,0,216.08,83.92,4,2,6,26,29.24,1.124615385,33.96,0,0,0,0,1553.32,5.17773,373,211.04,372,88.96,9,40.12,1.04,19,224.08,0,27,35.84,0.08,5
22,Nex-Cre,NEX-Cre-hom,2270.36,7.56785,67,110,0,36,140.2,3,30,49.84,0.44,216.48,83.52,9,1,10,26,18.32,0.704615385,31,1,1.4,262.44,0,1379.9,4.59967,468,194.96,469,105.04,10,100.04,57.08,19,165.08,0,28,34.92,51.08,7
23,Nex-Cre,NEX-Cre-hom,2832.9,9.44301,71,98.36,0,51,182.76,0.08,19,18.92,35.88,221.12,78.88,13,1,14,22,18.76,0.852727273,27.08,1,7.4,169.44,0,1314.89,4.38297,476,202.2,475,97.8,26,100.68,16.04,21,51.24,0,47,148.12,13.88,4
24,Nex-Cre,NEX-Cre-hom,2312.75,7.70916,56,92.2,18.64,46,200.08,0,11,7.76,56.36,206.12,93.88,4,2,6,32,45.44,1.42,61.44,0,0,0,0,2296.01,7.65335,319,227.68,319,72.32,16,99.44,60.72,20,170.84,0.16,36,29.76,0,9
25,Nex-Cre,NEX-Cre-hom,3277.85,10.9262,82,131.6,1.36,64,152.76,0,18,15.68,8,232.72,67.28,2,10,12,36,35.96,0.998888889,14.8,0,0,0,0,1858.34,6.19448,375,209.12,375,90.88,35,194.52,36.8,14,40.8,0,48,64.72,0.08,0
oma-1058,Nex-Cre,NEX-Cre-hom,4317.72,14.3922,110,151.502,1.70002,84,123.968,0,31,22.8836,2.40003,280.104,19.9003,16,3,19,52,36.3172,0.698407692,24.167,0,0,0,0,2029.23,6.76399,1098,216.386,1098,83.6178,25,197.369,0,13,55.2674,26.7837,37,47.384,4.20006,2
oma-1057,Nex-Cre,NEX-Cre-hom,4255.95,14.1863,116,150.502,2.7167,80,112.885,0,36,36.6338,3.13338,284.004,16.0002,4,9,13,41,23.3503,0.569519512,29.5671,0,0,0,0,1975.26,6.58412,897,202.92,898,97.0847,32,209.336,18.2336,25,39.2005,0,55,51.4841,7.71677,2
oma-0994,Nex-Cre,NEX-Cre-hom,3875.69,12.9188,96,131.335,1.95003,79,153.652,0,18,15.0335,5.0334,273.754,26.2504,16,4,20,33,17.7836,0.53889697,22.2503,0,0,0,0,2109.85,7.03272,990,229.887,990,70.1177,25,187.719,0,19,64.9676,14.6002,43,47.334,5.45008,2
oma-1080,Nex-Cre,NEX-Cre-hom,3652.59,12.1751,83,115.218,0,75,178.736,8.03345,7,6.06675,1.66669,263.154,36.8505,9,2,11,46,25.4337,0.552906522,40.2339,0,0,0,0,2611.6,8.70522,872,241.67,871,58.3341,27,147.519,7.06676,26,108.602,0,50,42.9506,6.46676,7
oma-1064,Nex-Cre,NEX-Cre-hom,3825.92,12.7529,92,137.235,1.46669,82,145.752,0,17,14.7835,29.6004,269.054,30.9504,12,4,16,58,47.4507,0.818115517,13.4002,0,0,0,0,2619.15,8.73911,876,236.787,874,62.9675,27,116.752,47.7007,24,120.585,0.100001,47,62.3342,0.466673,3
oma-1043,Nex-Cre,NEX-Cre-hom,3922.56,13.075,102,161.902,2.6667,82,113.935,0,22,24.0337,5.96675,270.704,29.3004,10,6,16,41,22.4503,0.547568293,37.8172,0,0,0,0,2280.18,7.60049,960,226.103,959,73.901,30,133.335,0,20,107.418,5.33341,50,59.2675,5.21674,0
oma-0150,NEX-Cre,NEX-Cre-WT,2798.92,9.32961,73,135.919,4.85007,55,148.019,0,15,11.6002,23.7503,211.586,88.4179,3,5,8,20,18.9003,0.945015,52.7674,1,3.01671,209.536,0,1445.09,4.81691,1077,202.703,1076,97.3013,21,191.419,0.283337,27,51.0007,16.4002,48,57.6008,0,0
oma-0153,NEX-Cre,NEX-Cre-WT,2657.14,8.85701,63,132.402,5.98342,58,139.002,0,12,13.1002,59.1508,241.403,58.6008,1,5,6,27,37.3505,1.383351852,71.201,0,0,0,0,1617.2,5.39058,919,204.636,918,95.3513,24,155.752,2.58337,17,64.1176,0,40,80.1511,0.383338,0
oma-0160,NEX-Cre,NEX-Cre-WT,2453.64,8.17869,59,117.302,0,49,138.085,1.16668,16,35.4505,4.10006,233.587,66.4176,6,1,7,21,24.2003,1.152395238,22.6837,1,4.46673,99.3347,0,1751.18,5.83717,913,207.403,913,92.6013,29,143.719,11.7335,26,82.1845,0,54,74.1177,0.233336,2
oma-0679,NEX-Cre,NEX-Cre-WT,1950.5,6.50158,44,130.685,3.38338,32,120.302,0,12,44.5506,5.50008,212.636,87.3679,5,5,10,25,20.3336,0.813344,70.3177,1,9.83347,256.687,0,1574.58,5.24851,1013,194.719,1014,105.285,26,192.469,3.33338,13,47.7507,11.3168,39,59.8008,0,0
oma-0178,NEX-Cre,NEX-Cre-WT,2932,9.7732,71,124.018,1.86669,59,133.885,0,18,34.3838,15.9836,249.403,50.6007,2,5,7,47,39.2339,0.83476383,29.7504,1,6.55009,102.518,0,1570.75,5.23576,932,211.67,931,88.3346,22,116.318,0.05,16,112.918,21.167,38,70.7843,0,1
oma-0188,NEX-Cre,NEX-Cre-WT,2256.25,7.52072,64,125.885,3.78339,46,140.035,0,20,30.2838,14.4335,246.087,53.9174,1,8,9,19,20.5836,1.083347368,68.451,0,0,0,0,1477.04,4.9234,1012,199.703,1011,100.301,36,155.052,4.41673,17,40.2339,13.4669,53,104.735,0,2
oma-0683,NEX-Cre,NEX-Cre-WT,2844.63,9.48197,67,109.102,3.53338,66,168.902,0,9,8.51679,22.2336,252.487,47.5173,5,3,8,30,43.4506,1.448353333,73.8677,1,4.10006,142.252,0,1666.35,5.55442,1022,210.02,1022,89.9846,19,166.652,4.5834,11,72.6677,2.80004,30,60.7009,0,2
oma-0179,NEX-Cre,NEX-Cre-WT,2691.9,8.97286,68,103.601,0.066667,57,169.336,0,18,16.8502,0.416672,226.403,73.601,7,6,13,49,49.184,1.003755102,29.2337,1,10.5001,155.152,0,1825.29,6.08423,977,222.203,978,77.8011,28,149.802,3.78339,17,98.7514,0,43,50.0174,1.76669,3
oma-0226,NEX-Cre,NEX-Cre-WT,3423.17,11.4104,96,143.102,0,80,127.802,2.5667,22,21.5336,20.0169,263.22,36.7839,11,5,16,27,24.967,0.924703704,58.4008,1,4.10006,282.271,0,1609.47,5.44438,1060,215.82,1055,80.0011,17,121.518,27.8837,26,103.151,0,41,69.6676,1.20002,1
oma-0228,NEX-Cre,NEX-Cre-WT,3255.9,10.8528,88,113.535,2.06669,74,149.035,0,20,20.5503,18.4669,260.32,39.6839,7,4,11,43,41.7506,0.970944186,47.084,1,4.56673,90.9513,0,1478.48,4.92819,1005,199.236,1005,100.768,28,187.703,13.1002,11,57.8841,0.250003,40,54.4341,0,1
oma-0227,NEX-Cre,NEX-Cre-WT,2579.2,8.59722,65,119.318,0.383338,55,146.485,0,18,25.3004,12.8002,226.17,73.8344,13,1,14,25,25.1004,1.004016,85.6845,3,4.71673,105.201,0,1902.61,6.34194,1016,223.653,1017,76.3511,38,186.736,1.26668,21,51.3507,12.8502,59,61.9342,0,1
oma-0753,Nex-Cre,NEX-Cre-WT,3034.1,10.1135,78,130.902,0,58,124.602,0.083334,26,40.8672,6.58343,260.937,39.0672,3,3,6,48,45.934,0.956958333,0.983347,1,7.26677,75.1011,0,2521.34,8.40435,881,238.337,880,61.6675,34,244.803,7.13343,19,26.5504,0.26667,52,28.5171,0,1
oma-0751,Nex-Cre,NEX-Cre-WT,3703.47,12.3447,77,105.668,0.783344,71,171.669,0,14,16.9336,5.63341,251.754,48.2507,5,4,9,43,36.4838,0.848460465,10.1668,2,8.06678,205.286,12,3088.41,10.2957,1061,225.753,1060,74.251,55,174.052,1.33335,43,74.5677,62.7175,98,51.4007,0,1
oma-0749,Nex-Cre,NEX-Cre-WT,3020.37,10.0678,57,105.568,3.73338,55,159.686,0,17,29.2837,5.83341,235.92,64.0842,4,10,14,45,37.7005,0.837788889,15.9336,2,7.38344,203.52,14,1718.17,5.72717,1024,206.736,1024,93.268,27,192.336,2.40003,18,36.4505,0,45,71.2343,0.166669,0
oma-0760,Nex-Cre,NEX-Cre-WT,2536.97,8.45646,56,110.452,3.28338,44,170.969,0,15,16.2336,20.0169,243.437,56.5675,4,4,8,37,31.9504,0.863524324,12.4002,1,7.48344,66.2509,0,1795.92,5.98633,1014,212.103,1013,87.9012,21,240.67,0,18,26.8337,13.6669,38,32.5171,9.7168,0
oma-0759,Nex-Cre,NEX-Cre-WT,3304.64,11.0153,81,125.868,0,53,142.469,1.71669,34,29.9171,7.0501,263.904,36.1005,6,10,16,63,48.0173,0.762179365,27.2337,2,5.85008,256.604,6,2325.02,7.74994,963,231.987,963,68.0176,27,209.386,3.51672,22,40.9506,0,48,49.684,2.05003,1